id;date;author;target;description;attack;target_class;attack_class;country;link;author_report;date_report;views
84;27/02/2020;?;Kenneth Cole Productions;The operators behind the Sodinokibi Ransomware (AKA Revil) publish the download links to files containing what they claim is financial and work documents, as well as customers' personal data stolen from Kenneth Cole Productions.;Malware;C Manufacturing;CC;US;https://www.forbes.com/sites/thomasbrewster/2020/02/28/fbi-warned-of-fraudsters-paradise-up-to-130000-hacked-asus-routers-on-sale-for-a-few-dollars/#79a330d82009;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
85;27/02/2020;?;Single Individuals;Researchers from Malwarebytes and X-Force discover an ongoing malspam campaign using emails disguised as messages from secret lovers to deliver Nemty Ransomware payloads on the computers of potential victims.;Malware;X Individual;CC;>1;https://www.forbes.com/sites/thomasbrewster/2020/02/28/fbi-warned-of-fraudsters-paradise-up-to-130000-hacked-asus-routers-on-sale-for-a-few-dollars/#79a330d82009;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
86;27/02/2020;?;Multiple targets;Researchers from Palo Alto discover a new phishing campaign installing the NetSupport Manager RAT via a Fake Norton LifeLock document.;Malicious Spam;Y Multiple Industries;CC;>1;https://www.forbes.com/sites/thomasbrewster/2020/02/28/fbi-warned-of-fraudsters-paradise-up-to-130000-hacked-asus-routers-on-sale-for-a-few-dollars/#79a330d82009;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
87;27/02/2020;?;"BGR.in
tradinggame.au.com
S3 Production";Hackers share three SQL databases from S3 buckets, one dump belonging to the BGR tech news site in India.;Misconfigured AWS S3 Bucket;Y Multiple Industries;CC;>1;https://www.forbes.com/sites/thomasbrewster/2020/02/28/fbi-warned-of-fraudsters-paradise-up-to-130000-hacked-asus-routers-on-sale-for-a-few-dollars/#79a330d82009;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
88;27/02/2020;?;Democratic National Committee;The Democratic National Committee warns its presidential candidates to be cautious after Bernie Sanders’ campaign reported that an “impersonator” with a domain registered overseas had posed as one of its staffers and sought conversations with members of at least two other campaigns.;Account Hijacking;S Other service activities;CE;US;https://www.forbes.com/sites/thomasbrewster/2020/02/28/fbi-warned-of-fraudsters-paradise-up-to-130000-hacked-asus-routers-on-sale-for-a-few-dollars/#79a330d82009;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
89;27/02/2020;?;Jordan Health;Jordan Health is hit with a ransomware attack.;Malware;P Education;CC;US;https://www.forbes.com/sites/thomasbrewster/2020/02/28/fbi-warned-of-fraudsters-paradise-up-to-130000-hacked-asus-routers-on-sale-for-a-few-dollars/#79a330d82009;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
90;28/02/2020;?;130,000 Asus routers;An unknown criminal manages to breach as many as 130,000 Asus routers, and sells the access to them for few dollars.;Router vulnerability;Y Multiple Industries;CC;>1;https://www.forbes.com/sites/thomasbrewster/2020/02/28/fbi-warned-of-fraudsters-paradise-up-to-130000-hacked-asus-routers-on-sale-for-a-few-dollars/#79a330d82009;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
91;28/02/2020;?;Multiple targets;Researchers from Morphisec discover a widespread campaign using the remote desktop ActiveX control in Word documents to automatically execute on Windows 10 a malware downloader called Ostap adopted by TrickBot for delivery.;Malware;Y Multiple Industries;CC;>1;https://www.theregister.co.uk/2020/03/02/financial_startup_loqbox_data_breach/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
92;28/02/2020;?;Vulnerable Wordpress sites;Researchers from Defiant discover that attackers took over tens of thousands of WordPress sites by exploiting multiple zero-days in the following plugins:  Flexible Checkout Fields for WooCommerce, Async JavaScript, 10Web Map Builder for Google Maps, Modern Events Calendar Lite.;Wordpress plugins vulnerabilities;Y Multiple Industries;CC;>1;https://www.theregister.co.uk/2020/03/02/financial_startup_loqbox_data_breach/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
93;28/02/2020;?;Munson Healthcare Group;Munson Healthcare Group discloses that hackers gained access to patient data placed by compromising the email accounts of at least two employees. Patient records were accessed from July 31, 2019, to October 22, 2019, but the breach went undetected until January 16, 2020.;Account Hijacking;Q Human health and social work activities;CC;US;https://www.theregister.co.uk/2020/03/02/financial_startup_loqbox_data_breach/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
94;29/02/2020;?;Epiq Global;Legal services giant Epiq Global is hit by a ransomware attack.;Malware;M Professional scientific and technical activities;CC;US;https://www.theregister.co.uk/2020/03/02/financial_startup_loqbox_data_breach/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
95;29/02/2020;?;RailWorks Corporation;RailWorks Corporation, one of the leading providers of rail infrastructure solutions in North America, discloses a ransomware attack.;Malware;C Manufacturing;CC;US;https://www.theregister.co.uk/2020/03/02/financial_startup_loqbox_data_breach/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
96;29/02/2020;?;Vulnerable Apache Tomcat servers;Security researchers detect ongoing scans for Apache Tomcat servers unpatched against the Ghostcat (CVE-2020-1938) vulnerability.;Ghostcat (CVE-2020-1938) vulnerability;Y Multiple Industries;CC;>1;https://www.theregister.co.uk/2020/03/02/financial_startup_loqbox_data_breach/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
97;29/02/2020;?;Loqbox;"Fintech startup Loqbox reveals to have suffered an ""attack"" which potentially revealed its customers' names, postal addresses, dates of birth, email addresses and phone numbers.";Unknown;V Fintech;CC;UK;https://www.theregister.co.uk/2020/03/02/financial_startup_loqbox_data_breach/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
1;06/03/2019;Egypt’s General Intelligence Service;Egyptian civil rights activists and journalists;Amnesty International discovers a wave of attacks, likely originated from government-backed bodies, starting from early January 2019 and targeting the email accounts of several Egyptian human rights defenders, media and civil society organizations;Account Hijacking;Not Found;Not Found;EG;https://edition.cnn.com/2019/10/01/politics/fbi-hacking-attempt-alleged-mobile-voting-app-voatz/index.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
2;17/09/2019;?;Multiple targets;The Federal Bureau of Investigation (FBI) sends a security advisory to private industry partners about the rising threat of attacks against organizations and their employees that can bypass MFA.;Account Hijacking;Not Found;Not Found;US;https://edition.cnn.com/2019/10/01/politics/fbi-hacking-attempt-alleged-mobile-voting-app-voatz/index.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
3;17/09/2019;?;Kent State University;Kent State University announces over 3,000 student emails has been hacked the week before, as a result of credential harvesting.;Account Hijacking;Not Found;Not Found;US;https://edition.cnn.com/2019/10/01/politics/fbi-hacking-attempt-alleged-mobile-voting-app-voatz/index.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
4;25/09/2019;?;US, Italian, and Japanese users;Researchers from Confiant discover OSX/Tarmac, a new malware was distributed to macOS users via online malvertising campaigns.;Malware;Not Found;Not Found;"US
IT
JP";https://edition.cnn.com/2019/10/01/politics/fbi-hacking-attempt-alleged-mobile-voting-app-voatz/index.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
5;27/09/2019;?;Cancer Treatment Centers of America at Southeastern Regional Medical Center;Cancer Treatment Centers of America at Southeastern Regional Medical Center notifies of a phishing incident, potentially impacting 4,559 patients.;Account Hijacking;Not Found;Not Found;US;https://edition.cnn.com/2019/10/01/politics/fbi-hacking-attempt-alleged-mobile-voting-app-voatz/index.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
6;27/09/2019;?;Catholic Health Initiative (CHI) at Lakeside Hospital;The CHI Health clinic at Lakeside Hospital informs patients that their personal information may have been exposed during a ransomware incident, occurred Aug. 1.;Malware;Not Found;Not Found;US;https://edition.cnn.com/2019/10/01/politics/fbi-hacking-attempt-alleged-mobile-voting-app-voatz/index.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
7;30/09/2019;?;Bradford City Hall;Bradford City Hall suffers a ransomware attack.;Malware;Not Found;Not Found;US;https://edition.cnn.com/2019/10/01/politics/fbi-hacking-attempt-alleged-mobile-voting-app-voatz/index.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
8;01/10/2019;?;US petroleum industry;Researchers from Netskope discover a campaign against the US petroleum industry carried out via a new Adwind Remote Access Trojan (RAT) variant.;Targeted Attack;Not Found;Not Found;US;https://edition.cnn.com/2019/10/01/politics/fbi-hacking-attempt-alleged-mobile-voting-app-voatz/index.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
9;01/10/2019;?;DCH Regional Medical Center in Tuscaloosa;DCH Regional Medical Center in Tuscaloosa is paralyzed by a Ryuk ransomware attack and forced to turn away patients.;Malware;Not Found;Not Found;US;https://edition.cnn.com/2019/10/01/politics/fbi-hacking-attempt-alleged-mobile-voting-app-voatz/index.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
10;01/10/2019;?;Voatz, West Virginia's mobile voting app;The FBI is investigating after someone allegedly tried to hack into Voatz, West Virginia's mobile voting app during the 2018 midterm elections.;Unknown;Not Found;Not Found;US;https://edition.cnn.com/2019/10/01/politics/fbi-hacking-attempt-alleged-mobile-voting-app-voatz/index.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
11;01/10/2019;?;Northport Medical Center;Northport Medical Center is also paralyzed by a Ryuk ransomware attack.;Malware;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/threat-group-uses-bitly-blogspot-pastebin-to-deliver-trojans-rats/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
12;01/10/2019;?;Fayette Medical Center;… And the Fayette Medical Center suffers the same fate…;Malware;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/threat-group-uses-bitly-blogspot-pastebin-to-deliver-trojans-rats/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
13;01/10/2019;?;Seven Hospitals in Victoria Australia;Seven hospitals in Victoria, Australia, are also paralyzed for more than 24 hours for a ransomware attack.;Malware;Not Found;Not Found;AU;https://www.bleepingcomputer.com/news/security/threat-group-uses-bitly-blogspot-pastebin-to-deliver-trojans-rats/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
14;01/10/2019;?;North Florida OB-GYN;North Florida OB-GYN notifies its patients of a ransomware attack discovered on July 27. Potentially 520,000 users are affected.;Malware;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/threat-group-uses-bitly-blogspot-pastebin-to-deliver-trojans-rats/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
15;01/10/2019;?;Single Individuals;Researchers from The Media Trust discover a malvertising operation designed to infect online publishers with browser-hijacking malware called Ghostcat-3PC, which launched at least 18 separate infection campaigns in the last three months alone.;Malvertising;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/threat-group-uses-bitly-blogspot-pastebin-to-deliver-trojans-rats/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
16;01/10/2019;?;Luzerne County;A school district in Luzerne County confirms it was the victim of a ransomware attack that locked up their computers for weeks.;Malware;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/threat-group-uses-bitly-blogspot-pastebin-to-deliver-trojans-rats/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
17;02/10/2019;?;Multiple Targets;The UK’s National Cyber Security Centre (NCSC) warns of attacks exploiting recently disclosed VPN vulnerabilities in Fortinet, Palo Alto Networks and Pulse Secure.;CVE-2019-11510, CVE-2019-11539, CVE-2018-13379;Not Found;Not Found;UK;https://www.bleepingcomputer.com/news/security/threat-group-uses-bitly-blogspot-pastebin-to-deliver-trojans-rats/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
18;02/10/2019;?;Zendesk;Customer service software company Zendesk notifies a security incident, occurred in 2016, that might have impacted roughly 10,000 Zendesk Support and Chat accounts activated prior to November 1, 2016.;Unknown;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/threat-group-uses-bitly-blogspot-pastebin-to-deliver-trojans-rats/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
19;02/10/2019;?;McAlister's Deli, Moe’s Southwest Grill, and Schlotzsky’s;McAlister's Deli, Moe’s Southwest Grill, and Schlotzsky’s (all of them owned by Focus Brands) disclose publicly that their networks were infected with point-of-sale malware.;PoS Malware;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/threat-group-uses-bitly-blogspot-pastebin-to-deliver-trojans-rats/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
20;02/10/2019;?;Gorgon Group;Researchers from Prevailion discover MasterMana, a malicious campaign targeting corporations from all over the world, using a combination of pages hosted on Bit.ly, BlogSpot, and Pastebin to deliver Azorult and RevengeRAT malware.;Malware;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/threat-group-uses-bitly-blogspot-pastebin-to-deliver-trojans-rats/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
21;02/10/2019;Silent Starling;Over 500 companies in 14 countries.;In a variation of the business email compromise (BEC) scam dubbed Vendor Email Compromise (VEC), a cyber gang manages to compromise email accounts of more than 700 employees from over 500 companies in 14 countries.;BEC;Not Found;Not Found;>1;https://www.zdnet.com/article/a-huge-android-trojan-malware-campaign-was-discovered-after-the-gang-behind-it-made-basic-security-mistakes/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
22;02/10/2019;?;Italian users;Researchers from Certego discover FTCode, a Powershell ransomware targeting Italian users.;Malware;Not Found;Not Found;IT;https://www.zdnet.com/article/a-huge-android-trojan-malware-campaign-was-discovered-after-the-gang-behind-it-made-basic-security-mistakes/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
23;02/10/2019;?;Single Individuals;Researchers from FireEye reveal that attackers are using hacked web sites that promote fake browser updates to infect targets with banking trojans and ransomware.;Malware;Not Found;Not Found;>1;https://www.zdnet.com/article/a-huge-android-trojan-malware-campaign-was-discovered-after-the-gang-behind-it-made-basic-security-mistakes/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
24;02/10/2019;APT17;Japanese government agencies;Researchers at JPCERT reveal the details of a campaign targeting Japanese government agencies and exploiting a vulnerability in the local Sanshiro spreadsheet application (CVE-2014-0810). ;Targeted Attack;Not Found;Not Found;JP;https://www.zdnet.com/article/a-huge-android-trojan-malware-campaign-was-discovered-after-the-gang-behind-it-made-basic-security-mistakes/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
25;02/10/2019;Bronze Butler;Japanese government agencies;Researchers at JPCERT reveal the details of a campaign targeting Japanese government agencies and exploiting a vulnerability in the local SkySea Client View software (CVE-2016-7836).;Targeted Attack;Not Found;Not Found;JP;https://www.zdnet.com/article/a-huge-android-trojan-malware-campaign-was-discovered-after-the-gang-behind-it-made-basic-security-mistakes/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
26;02/10/2019;?;City of Cornelia;A ransomware attack on City of Cornelia’s billing system results in a day of lost productivity.;Malware;Not Found;Not Found;US;https://www.zdnet.com/article/a-huge-android-trojan-malware-campaign-was-discovered-after-the-gang-behind-it-made-basic-security-mistakes/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
27;02/10/2019;?;Tukwila School District;"The Tukwila School District is the victim of a “phishing scam"".";Account Hijacking;Not Found;Not Found;US;https://www.zdnet.com/article/a-huge-android-trojan-malware-campaign-was-discovered-after-the-gang-behind-it-made-basic-security-mistakes/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
28;03/10/2019;PKPLUG (China);Southeast Asian region since 2013;Researchers from Palo Alto Networks discover PKPLUG, a previously undocumented threat actor of Chinese origin that has run at least six cyber espionage campaigns in the Southeast Asian region since 2013 using the PlugX malware.;Targeted Attack;Not Found;Not Found;>1;https://www.zdnet.com/article/a-huge-android-trojan-malware-campaign-was-discovered-after-the-gang-behind-it-made-basic-security-mistakes/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
29;03/10/2019;Avivore;European industries in the aerospace and defense sector;Researchers from Context reveal the details of Avivore, the threat actor behind the recent attacks to European industries in the aerospace and defense sector.;Targeted Attack;Not Found;Not Found;>1;https://www.zdnet.com/article/a-huge-android-trojan-malware-campaign-was-discovered-after-the-gang-behind-it-made-basic-security-mistakes/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
30;03/10/2019;?;Android users;Researchers from Czech Technical University, UNCUYO University in Argentina, and Avast discover Geost, a giant botnet and banking trojan operation that has infected around 800,000 Android users since at least 2016.;Malware;Not Found;Not Found;>1;https://www.zdnet.com/article/a-huge-android-trojan-malware-campaign-was-discovered-after-the-gang-behind-it-made-basic-security-mistakes/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
31;03/10/2019;Turla;Single Individuals;Researchers from Kaspersky detail attempts by a Russian group, Turla, to fingerprint TLS-encrypted web traffic by modifying Chrome and Firefox using the Redactor module.;Malware;Not Found;Not Found;>1;https://www.wired.it/internet/web/2019/10/08/anonymous-partito-democratico/?refresh_ce=;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
32;03/10/2019;?;Financial users in South America;"Researchers from ESET discover Casbaneiro, a banking trojan targeting South America, hiding the C2 server addresses in fake websites and in descriptions for YouTube videos.
";Malware;Not Found;Not Found;>1;https://www.wired.it/internet/web/2019/10/08/anonymous-partito-democratico/?refresh_ce=;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
33;03/10/2019;?;Montgomery County Public Schools;Montgomery County Public Schools forces password reset after the Naviance career service is hacked.;Brute Force;Not Found;Not Found;US;https://www.wired.it/internet/web/2019/10/08/anonymous-partito-democratico/?refresh_ce=;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
34;03/10/2019;?;Goshen Health;Goshen Health notifies potentially affected patients that an unauthorized third party may have potentially accessed two employees’ email accounts from approximately August 2, 2018 to August 13, 2018.;Account Hijacking;Not Found;Not Found;US;https://www.wired.it/internet/web/2019/10/08/anonymous-partito-democratico/?refresh_ce=;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
35;04/10/2019;Phosphorous, aka APT35, Charming Kitten (linked to Iran);241 email accounts including a US presidential campaign, current and former US officials, journalists and expatriate Iranians;Microsoft reveals that Phosphorous, a  group linked to the Iranian government, attacked 241 email accounts between August and September, including a US presidential campaign, US officials, journalists covering world politics as well as Iran expats.;Targeted Attack;Not Found;Not Found;US;https://www.wired.it/internet/web/2019/10/08/anonymous-partito-democratico/?refresh_ce=;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
36;04/10/2019;?;City of Jerez de la Frontera;A hacker takes over the computer system of the southern Spanish city of Jerez de la Frontera and demands a ransom paid in bitcoin to unlock it.;Malware;Not Found;Not Found;ES;https://www.wired.it/internet/web/2019/10/08/anonymous-partito-democratico/?refresh_ce=;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
37;04/10/2019;?;US-based server owned by an engineering company that provides services to the oil, gas and chemical industries. ;Researchers from Check Point disclose an ongoing hacking campaign targeting Asterisk FreePBX, one of the world's most popular services for making voice over IP phone calls.;Asterisk FreePBX Vulnerability;Not Found;Not Found;US;https://www.wired.it/internet/web/2019/10/08/anonymous-partito-democratico/?refresh_ce=;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
38;04/10/2019;?;University of Alabama at Birmingham (UAB Medical);UAB Medical is hit by a phishing attack occurred on August 7th, 2019, which targeted the payroll department. The attackers gained access to numerous employee emails containing the health information for 19,557 patients.;Account Hijacking;Not Found;Not Found;US;https://www.wired.it/internet/web/2019/10/08/anonymous-partito-democratico/?refresh_ce=;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
39;05/10/2019;?;Tū Ora Compass Health;In the wake of a cyber attack occurred in August, Tū Ora Compass Health discovers to have been affected by a cyber attack from 2016 to March 2019, resulting in the potential exposure of sensitive medical information belonging to one million individuals.  ;Unknown;Not Found;Not Found;NZ;https://www.wired.it/internet/web/2019/10/08/anonymous-partito-democratico/?refresh_ce=;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
40;06/10/2019;Anonymous Italia;Italian Democratic Party;Anonymous Italia hacks 8 websites of the Italian Democratic Party (PD) and leaks 220 databases containing personal data in clear text.;SQLi;Not Found;Not Found;IT;https://www.wired.it/internet/web/2019/10/08/anonymous-partito-democratico/?refresh_ce=;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
41;06/10/2019;?;Bonjour-Santé;Bonjour-Santé, a private Quebec medical-booking service that promises quick appointments, was the victim of a cyber attack.;Malware;Not Found;Not Found;CA;https://www.zdnet.com/article/new-sextortion-campaign-taps-altcoins-to-avoid-detection/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
42;06/10/2019;Nathan;TOMS Shoes;A hacker dubbed Nathan uses the mailing list of retailer TOMS Shoes to tell users it's time to log off.;Unknown;Not Found;Not Found;US;https://www.zdnet.com/article/new-sextortion-campaign-taps-altcoins-to-avoid-detection/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
43;07/10/2019;?;Multiple targets;The NSA warns of multiple state-sponsored cyberespionage groups exploiting enterprise VPN Flaws in Fortinet, Palo Alto Networks and Pulse Secure.;CVE-2019-11510, CVE-2019-11539, CVE-2018-13379;Not Found;Not Found;US;https://www.zdnet.com/article/new-sextortion-campaign-taps-altcoins-to-avoid-detection/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
44;07/10/2019;?;Volusion;Hackers breach the infrastructure of Volusion, a provider of cloud-hosted online stores, and deliver malicious code that records and steals payment card details entered by users in online forms. More than 6,500 stores are impacted,;Malicious Script Injection;Not Found;Not Found;;https://www.zdnet.com/article/new-sextortion-campaign-taps-altcoins-to-avoid-detection/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
45;07/10/2019;?;Beeline;The data of 8.7 million customers from Russian internet service provider Beeline is being sold and shared online. The breach occurred in 2017.;Unknown;Not Found;Not Found;RU;https://www.zdnet.com/article/new-sextortion-campaign-taps-altcoins-to-avoid-detection/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
46;07/10/2019;?;Multiple targets;Researchers from Akamai warn that one year after the official patching, attackers are still actively exploiting Drupalgeddon 2 (CVE-2018-7600).;Drupal vulnerability (CVE-2018-7600);Not Found;Not Found;>1;https://www.zdnet.com/article/new-sextortion-campaign-taps-altcoins-to-avoid-detection/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
47;07/10/2019;?;Targeting service providers and engineering firms;ANSSI, the National Cybersecurity Agency of France (Agence Nationale de la Sécurité des Systèmes d'Information) publishes an alert on cyber-espionage campaigns targeting service providers and engineering firms.;Targeted Attack;Not Found;Not Found;FR;https://www.zdnet.com/article/new-sextortion-campaign-taps-altcoins-to-avoid-detection/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
48;07/10/2019;Tobias Frömel;Muhstik gang;Tobias Frömel, a German researcher hacks the attackers' database, after being victim of the Muhstik ransomware.;Unknown;Not Found;Not Found;N/A;https://www.zdnet.com/article/new-sextortion-campaign-taps-altcoins-to-avoid-detection/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
49;07/10/2019;?;Hibiscus Petroleum;Hibiscus Petroleum reveals that its IT system was “subjected to an attack” the previous week.;Unknown;Not Found;Not Found;MY;https://www.zdnet.com/article/new-sextortion-campaign-taps-altcoins-to-avoid-detection/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
50;08/10/2019;?;Single Individuals;Researchers from Cofense discover a new sextortion campaign switching from the standard ransom demands for Bitcoin (BTC) to alternative coins in an attempt to bypass email protections.  ;Account Hijacking;Not Found;Not Found;>1;https://www.zdnet.com/article/new-sextortion-campaign-taps-altcoins-to-avoid-detection/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
51;09/10/2019;?;TransUnion;The personal information of about 37,000 Canadians is compromised after the fraudulent use of one if TransUnion's legitimate business customer’s login credentials. The breach occurred between June and July.;Account Hijacking;Not Found;Not Found;CA;https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_b6194b7a-eba2-11e9-a388-5b6eedc7c596.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
52;09/10/2019;?;Immutable;Immutable is hit by a cyber attack after it offered to support a professional gamer banned from his sport for endorsing Hong Kong democracy protests.;DDoS;Not Found;Not Found;AU;https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_b6194b7a-eba2-11e9-a388-5b6eedc7c596.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
53;09/10/2019;?;Methodist Hospitals;Methodist Hospitals from Gary, Indiana, discloses that sensitive personal and medical information for 68,039 individuals may have been exposed following a successful phishing attack against two of its employees occurred in June 2019.;Account Hijacking;Not Found;Not Found;US;https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_b6194b7a-eba2-11e9-a388-5b6eedc7c596.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
54;09/10/2019;?;Single Individuals;A new phishing campaign pretends to be an Amazon AWS suspension notice for unpaid bills.;Account Hijacking;Not Found;Not Found;>1;https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_b6194b7a-eba2-11e9-a388-5b6eedc7c596.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
55;09/10/2019;?;Blue Earth Area High School;Blue Earth Area High School replaces its gymnasium floor in the wake of a Sept. 19 cyberattack at the school that hit the computer that controls the humidity level in the building.;Unknown;Not Found;Not Found;US;https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_b6194b7a-eba2-11e9-a388-5b6eedc7c596.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
56;10/10/2019;Attor;Diplomatic missions, governmental institutions in Eastern Europe, and Russian-speaking privacy-concerned users;Researchers from ESET discover a new espionage campaign using a GSM plugin with the AT command protocol, and Tor for its network communications. For this reason the campaign is dubbed Attor.;Targeted Attack;Not Found;Not Found;"RU
UA
SK
LI
TR";https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_b6194b7a-eba2-11e9-a388-5b6eedc7c596.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
57;10/10/2019;FIN7;NCR Corporation;Researchers from FireEye discover new tools from the FIN7 group: a loader, dubbed BOOSTWRITE, that delivers payloads into memory and a module, dubbed RDFSNIFFER, that hooks into the remote administration software of ATM maker NCR Corporation.;Malware;Not Found;Not Found;US;https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_b6194b7a-eba2-11e9-a388-5b6eedc7c596.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
58;10/10/2019;?;Two prominent Moroccan Human Rights Defenders;Amnesty International uncovers targeted attacks against two prominent Moroccan Human Rights Defenders using NSO Group’s Pegasus spyware. Targeted attacks have been ongoing since at least 2017.;Targeted Attack;Not Found;Not Found;MA;https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_b6194b7a-eba2-11e9-a388-5b6eedc7c596.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
59;10/10/2019;?;Multiple targets;Researchers from Morphisec reveal that the operators of the BitPaymer ransomware have been spotted using a zero-day in iTunes for Windows as a mechanism to bypass antivirus detection.;Malware;Not Found;Not Found;>1;https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_b6194b7a-eba2-11e9-a388-5b6eedc7c596.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
60;10/10/2019;?;Magnolia Pediatrics;Magnolia Pediatrics is hit by ransomware. The infection occurred on August 2019.;Malware;Not Found;Not Found;US;https://www.theadvocate.com/baton_rouge/news/communities/ascension/article_b6194b7a-eba2-11e9-a388-5b6eedc7c596.html;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
